City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Vila,PT,2023-01-03 01:39:46,42.0304,-8.1588,34.68,93,31,2.95,scattered clouds
140,Comodoro Rivadavia,AR,2023-01-03 01:39:47,-45.8667,-67.5,71.46,24,0,24.16,clear sky
141,Beringovskiy,RU,2023-01-03 01:39:47,63.05,179.3167,-14.87,92,27,12.24,scattered clouds
142,Garissa,KE,2023-01-03 01:39:48,-0.4536,39.6401,74.28,85,52,6.98,light rain
143,Hercules,US,2023-01-03 01:39:48,38.0171,-122.2886,48.38,91,100,5.99,light rain
144,Grand Gaube,MU,2023-01-03 01:39:49,-20.0064,57.6608,74.37,74,100,1.99,overcast clouds
145,Gat,IL,2023-01-03 01:39:49,31.61,34.7642,57.78,100,5,10.65,clear sky
146,Sobolevo,RU,2023-01-03 01:39:49,54.4299,31.8996,42.6,94,100,13.76,overcast clouds
147,Chicama,PE,2023-01-03 01:39:50,-7.8447,-79.1469,66.74,78,52,3.89,broken clouds
148,Husavik,IS,2023-01-03 01:39:50,66.0449,-17.3389,32.54,93,100,11.86,snow
149,Loikaw,MM,2023-01-03 01:39:51,19.6742,97.2094,63.7,61,6,1.92,clear sky
150,Norman Wells,CA,2023-01-03 01:39:51,65.282,-126.8329,8.64,72,75,13.8,light snow
151,Oshkosh,US,2023-01-03 01:39:51,44.0247,-88.5426,31.26,90,40,3.44,mist
152,Margate,GB,2023-01-03 01:39:52,51.3813,1.3862,48.9,85,9,10.65,clear sky
153,Cidreira,BR,2023-01-03 01:39:52,-30.1811,-50.2056,70.92,96,11,8.19,few clouds
154,Severo-Kurilsk,RU,2023-01-03 01:39:52,50.6789,156.125,20.66,78,100,35.16,light snow
155,Lensk,RU,2023-01-03 01:39:53,60.7253,114.9278,-0.94,73,100,10.25,overcast clouds
156,Humberto De Campos,BR,2023-01-03 01:39:53,-2.5983,-43.4611,75.33,92,35,4.85,scattered clouds
157,Buala,SB,2023-01-03 01:39:54,-8.145,159.5921,83.21,80,64,9.35,moderate rain
158,Codrington,AU,2023-01-03 01:39:54,-38.2667,141.9667,61.99,60,98,13.53,overcast clouds
159,Eureka,US,2023-01-03 01:39:54,40.8021,-124.1637,49.93,87,100,1.01,overcast clouds
160,Kavaratti,IN,2023-01-03 01:37:08,10.5669,72.642,80.35,72,61,8.55,broken clouds
161,Yellowknife,CA,2023-01-03 01:39:55,62.456,-114.3525,1.92,85,75,13.8,light snow
162,Ust-Kan,RU,2023-01-03 01:39:55,50.9276,84.761,6.37,90,100,5.46,overcast clouds
163,Tiksi,RU,2023-01-03 01:39:56,71.6872,128.8694,-14.12,98,100,6.78,overcast clouds
164,Abu Dhabi,AE,2023-01-03 01:37:20,24.4667,54.3667,69.82,63,0,4.61,clear sky
165,Kungalv,SE,2023-01-03 01:39:56,57.871,11.9805,34.68,95,100,5.39,light snow
166,Sao Jose Da Coroa Grande,BR,2023-01-03 01:39:57,-8.8978,-35.1478,78.39,76,100,8.68,overcast clouds
167,Yantal,RU,2023-01-03 01:39:57,56.8471,105.2542,-3.35,99,94,4.47,overcast clouds
168,Antalaha,MG,2023-01-03 01:39:58,-14.9003,50.2788,72.12,92,67,3.67,broken clouds
169,Cabo San Lucas,MX,2023-01-03 01:39:58,22.8909,-109.9124,72.52,72,0,6.91,clear sky
170,Frederick,US,2023-01-03 01:39:58,39.4668,-77.3997,59.04,82,100,0.0,overcast clouds
171,Adelaide,AU,2023-01-03 01:35:19,-34.9333,138.6,75.04,46,75,13.8,broken clouds
172,Paragominas,BR,2023-01-03 01:39:59,-2.9667,-47.4833,71.49,98,14,3.53,few clouds
173,Aklavik,CA,2023-01-03 01:39:59,68.2191,-135.0107,0.99,96,100,7.81,overcast clouds
174,Quzhou,CN,2023-01-03 01:37:55,28.9594,118.8686,41.74,95,100,6.02,overcast clouds
175,Port Hardy,CA,2023-01-03 01:41:00,50.6996,-127.4199,42.98,75,100,11.5,overcast clouds
176,Pa Sang,TH,2023-01-03 01:41:00,18.5262,98.9394,73.35,55,0,1.79,clear sky
177,Karratha,AU,2023-01-03 01:41:01,-20.7377,116.8463,92.03,41,94,5.46,overcast clouds
178,Lompoc,US,2023-01-03 01:41:01,34.6391,-120.4579,52.21,93,75,11.5,broken clouds
179,Magadan,RU,2023-01-03 01:41:01,59.5667,150.8,4.68,74,100,16.96,overcast clouds
180,Diffa,NE,2023-01-03 01:41:02,13.3154,12.6113,62.53,45,5,12.73,clear sky
181,Xining,CN,2023-01-03 01:41:02,36.6167,101.7667,20.26,37,8,2.19,clear sky
182,Puerto Escondido,MX,2023-01-03 01:41:03,15.85,-97.0667,79.63,65,0,0.0,clear sky
183,Svetlaya,RU,2023-01-03 01:41:04,46.5389,138.3297,5.23,51,0,7.7,clear sky
184,Pangnirtung,CA,2023-01-03 01:41:04,66.1451,-65.7125,-15.18,89,98,4.03,overcast clouds
185,Saldanha,ZA,2023-01-03 01:41:05,-33.0117,17.9442,62.98,93,64,14.63,broken clouds
186,Leningradskiy,RU,2023-01-03 01:41:06,69.3833,178.4167,-23.93,97,100,12.71,overcast clouds
187,Nikki,BJ,2023-01-03 01:41:06,9.9401,3.2108,66.49,30,50,5.01,scattered clouds
188,Mount Gambier,AU,2023-01-03 01:41:07,-37.8333,140.7667,62.1,54,99,10.94,overcast clouds
189,Ancud,CL,2023-01-03 01:41:07,-41.8697,-73.8203,54.0,91,66,7.47,broken clouds
190,Kermanshah,IR,2023-01-03 01:41:09,34.3142,47.065,27.5,64,0,6.91,clear sky
191,San Andres,CO,2023-01-03 01:37:40,12.5847,-81.7006,80.62,74,40,11.5,scattered clouds
192,Portland,US,2023-01-03 01:38:01,45.5234,-122.6762,40.35,77,75,19.57,broken clouds
